,GHI_Open_Field (W/m2),GHI_Agrivoltaic (W/m2),Temperature_Open_Field (C),Temperature_Agrivoltaic (C),Wind_Speed (m/s),Relative_Humidity (%),Panel_Tilt (degrees)
2022-06-24 00:00:00+00:00,0.0,0.0,19.93,18.73,1.17,86.85,0.0
2022-06-24 01:00:00+00:00,0.0,0.0,19.27,18.07,1.31,86.85,0.0
2022-06-24 02:00:00+00:00,0.0,0.0,18.92,17.720000000000002,1.31,89.8,0.0
2022-06-24 03:00:00+00:00,0.0,0.0,19.13,17.93,1.31,86.85,0.0
2022-06-24 04:00:00+00:00,56.0,56.0,18.05,16.85,1.66,89.75,4.717935554402661
2022-06-24 05:00:00+00:00,203.0,203.0,18.65,17.45,1.79,86.8,17.806890345110308
2022-06-24 06:00:00+00:00,361.0,361.0,22.75,21.55,1.52,73.6,39.001032882294965
2022-06-24 07:00:00+00:00,519.0,484.56,24.18,22.98,1.72,62.35,53.65410320776348
2022-06-24 08:00:00+00:00,707.0,562.7,25.63,24.43,1.93,52.75,41.959949085617374
2022-06-24 09:00:00+00:00,590.0,515.94,26.77,25.57,1.93,46.25,29.271864825910566
2022-06-24 10:00:00+00:00,939.0,569.0,27.83,26.63,1.93,41.95,15.612705091185546
2022-06-24 11:00:00+00:00,972.0,592.8,28.51,27.310000000000002,2.21,42.05,1.3140442806965547
2022-06-24 12:00:00+00:00,939.0,605.04,28.7,27.5,2.97,40.75,13.043230969992276
2022-06-24 13:00:00+00:00,834.0,632.72,28.71,27.51,3.45,40.75,26.853513308563038
2022-06-24 14:00:00+00:00,693.0,663.66,28.43,27.23,3.38,42.05,39.72986692852732
2022-06-24 15:00:00+00:00,494.0,494.0,27.88,26.68,2.69,46.5,51.59601970160015
2022-06-24 16:00:00+00:00,335.0,335.0,27.24,26.04,2.07,51.45,47.59189657714803
2022-06-24 17:00:00+00:00,168.0,168.0,26.29,25.09,1.38,58.7,20.598034846454134
2022-06-24 18:00:00+00:00,27.0,27.0,25.12,23.92,1.17,69.15,6.945050103604983
2022-06-24 19:00:00+00:00,0.0,0.0,23.31,22.11,1.24,78.85,0.0
2022-06-24 20:00:00+00:00,0.0,0.0,22.47,21.27,1.24,81.4,0.0
2022-06-24 21:00:00+00:00,0.0,0.0,21.99,20.79,1.24,81.35,0.0
2022-06-24 22:00:00+00:00,0.0,0.0,22.7,21.5,0.97,76.15,0.0
2022-06-24 23:00:00+00:00,0.0,0.0,21.34,20.14,1.24,84.05,0.0
2022-06-25 00:00:00+00:00,0.0,0.0,20.46,19.26,1.59,86.85,0.0
2022-06-25 01:00:00+00:00,0.0,0.0,20.74,19.54,2.07,84.05,0.0
2022-06-25 02:00:00+00:00,0.0,0.0,21.38,20.18,2.41,78.55,0.0
2022-06-25 03:00:00+00:00,0.0,0.0,21.87,20.67,2.55,76.0,0.0
2022-06-25 04:00:00+00:00,8.0,8.0,21.61,20.41,1.86,81.3,4.653632320217717
2022-06-25 05:00:00+00:00,96.0,96.0,21.56,20.36,1.59,84.05,17.730445321325657
2022-06-25 06:00:00+00:00,106.0,106.0,22.8,21.6,1.86,78.75,38.82122183417894
2022-06-25 07:00:00+00:00,121.0,121.0,24.36,23.16,2.07,73.85,53.70785968834925
2022-06-25 08:00:00+00:00,679.0,545.8,25.23,24.03,3.79,71.6,42.01489577503504
2022-06-25 09:00:00+00:00,109.0,109.0,25.76,24.560000000000002,4.28,69.3,29.327663174071603
2022-06-25 10:00:00+00:00,121.0,121.0,26.11,24.91,5.1,69.3,15.66783602534019
2022-06-25 11:00:00+00:00,577.0,524.68,25.68,24.48,4.76,69.3,1.3660672167564256
2022-06-25 12:00:00+00:00,778.0,597.16,25.52,24.32,4.83,69.25,12.996769640454339
2022-06-25 13:00:00+00:00,679.0,577.24,25.18,23.98,4.48,71.6,26.81404882517135
2022-06-25 14:00:00+00:00,562.0,547.54,25.12,23.92,4.14,76.45,39.69745826187835
2022-06-25 15:00:00+00:00,498.0,498.0,24.79,23.59,4.07,76.45,51.56971476654566
2022-06-25 16:00:00+00:00,334.0,334.0,24.62,23.42,3.93,81.65,47.72658263210105
2022-06-25 17:00:00+00:00,162.0,162.0,24.19,22.990000000000002,3.38,81.65,20.62653012802737
